<s>at</s>	<s>atlarız</s>	<s>atız</s>
<s>geçtik</s>	<s>geçmiyordunuz</s>	<s>geçmiyordunuz</s>
<s>yaramı</s>	<s>yaralarınıza</s>	<s>yaralarınıza</s>
<s>eşyana</s>	<s>eşyamız</s>	<s>eşyamız</s>
<s>özünde</s>	<s>özlerinizden</s>	<s>özlerinizden</s>
<s>tıklar</s>	<s>tıkıyordu</s>	<s>tıklıyordu</s>
<s>babaya</s>	<s>babalardık</s>	<s>babalardık</s>
<s>zafere</s>	<s>zaferler</s>	<s>zaferler</s>
<s>kükürt</s>	<s>kütüklere</s>	<s>kükürtlere</s>
<s>netler</s>	<s>netlerinin</s>	<s>netlerinin</s>
<s>yılana</s>	<s>yılanında</s>	<s>yılanında</s>
<s>üretti</s>	<s>üretiyorum</s>	<s>üretiyorum</s>
<s>öcümün</s>	<s>öçleri</s>	<s>öçleri</s>
<s>sesçin</s>	<s>sesçiyi</s>	<s>sesçiyi</s>
<s>kocana</s>	<s>kocalarınız</s>	<s>kocalarınız</s>
<s>kabağı</s>	<s>kabaklarınızın</s>	<s>kabaklarınızın</s>
<s>saydık</s>	<s>saymıyor</s>	<s>saymıyor</s>
<s>cihaza</s>	<s>cihazlarının</s>	<s>cihazlarının</s>
<s>olmadı</s>	<s>oluyordum</s>	<s>oluyordum</s>
<s>tayfan</s>	<s>tayfalarmışız</s>	<s>tayfalarmışız</s>
<s>oymağa</s>	<s>oymağında</s>	<s>oymağında</s>
<s>yedeği</s>	<s>yedeklerdi</s>	<s>yedeklerdi</s>
<s>tütüde</s>	<s>tütümüzü</s>	<s>tütümüzü</s>
<s>koyunu</s>	<s>koylar</s>	<s>koylar</s>
<s>karını</s>	<s>karımıza</s>	<s>karımıza</s>
<s>eşyamı</s>	<s>eşyalardan</s>	<s>eşyalardan</s>
<s>sillen</s>	<s>sillelerde</s>	<s>sillelerde</s>
<s>takımı</s>	<s>takınızdan</s>	<s>takınızdan</s>
<s>meleğe</s>	<s>meleklerin</s>	<s>meleklerin</s>
<s>objede</s>	<s>objelerinde</s>	<s>objelerinde</s>
<s>durduk</s>	<s>duruyordu</s>	<s>duruyordu</s>
<s>elçini</s>	<s>elçilerini</s>	<s>elçilerini</s>
<s>kızmam</s>	<s>kızmayacağız</s>	<s>kızmayacağız</s>
<s>füzede</s>	<s>füzeden</s>	<s>füzeden</s>
<s>âlemim</s>	<s>âlemlerinden</s>	<s>âlemlerinden</s>
<s>âlimim</s>	<s>âlimlerinde</s>	<s>âlimlerinde</s>
<s>kanatı</s>	<s>kanatlardan</s>	<s>kanatlardan</s>
<s>yazmaz</s>	<s>yazmıyordu</s>	<s>yazmıyordu</s>
<s>adımın</s>	<s>adınızı</s>	<s>adınızı</s>
<s>yongan</s>	<s>yongamın</s>	<s>yongamın</s>
<s>terlik</s>	<s>terliğini</s>	<s>terliğini</s>
<s>elmamı</s>	<s>elmaları</s>	<s>elmaları</s>
<s>fosfor</s>	<s>fosforda</s>	<s>fosforda</s>
<s>meşede</s>	<s>meşeyi</s>	<s>meşeyi</s>
<s>argoda</s>	<s>argolardan</s>	<s>argolardan</s>
<s>kızlık</s>	<s>kızlıklarımda</s>	<s>kızlıklarımda</s>
<s>perona</s>	<s>peronunuzdan</s>	<s>peronunuzdan</s>
<s>atmazız</s>	<s>atmadık</s>	<s>atmatık</s>
<s>sikişir</s>	<s>sikişmedi</s>	<s>sikişmedi</s>
<s>süreriz</s>	<s>sürüyorlar</s>	<s>sürüyorlar</s>
<s>asmadım</s>	<s>astı</s>	<s>astı</s>
<s>konunun</s>	<s>konunuzun</s>	<s>konunuzun</s>
<s>gazelin</s>	<s>gazelsiniz</s>	<s>gazelsiniz</s>
<s>içerler</s>	<s>içtin</s>	<s>içtin</s>
<s>zulmüne</s>	<s>zulmümüzü</s>	<s>zulmümüzü</s>
<s>anketim</s>	<s>anketler</s>	<s>anketler</s>
<s>kanarım</s>	<s>kanamayacağım</s>	<s>kanamayacağım</s>
<s>sonuçta</s>	<s>sonuçtuk</s>	<s>sonuçtuk</s>
<s>ilminde</s>	<s>ilmimizi</s>	<s>ilmimizi</s>
<s>bayılma</s>	<s>bayılmalarında</s>	<s>bayılmalarında</s>
<s>kıblesi</s>	<s>kıblemi</s>	<s>kıblemi</s>
<s>kalemiz</s>	<s>kalelerinden</s>	<s>kalelerinden</s>
<s>dededen</s>	<s>dedenin</s>	<s>dedenin</s>
<s>bakmayı</s>	<s>bakmada</s>	<s>bakmada</s>
<s>yağışım</s>	<s>yağışlarına</s>	<s>yağışlarına</s>
<s>asandan</s>	<s>asalarımı</s>	<s>asalarımı</s>
<s>maskara</s>	<s>maskaralarını</s>	<s>maskaralarını</s>
<s>özünüzü</s>	<s>özlerine</s>	<s>özlerine</s>
<s>çırağım</s>	<s>çıraklarız</s>	<s>çıraklarız</s>
<s>kılıfın</s>	<s>kılıflarımıza</s>	<s>kılıflarımıza</s>
<s>uçmuşuz</s>	<s>uçmuşlar</s>	<s>uçmuşlar</s>
<s>acıktım</s>	<s>acıktınız</s>	<s>acıktınız</s>
<s>çığımda</s>	<s>çığları</s>	<s>çığları</s>
<s>iyisine</s>	<s>iyiydiler</s>	<s>iyiydiler</s>
<s>sirkten</s>	<s>sirkinizden</s>	<s>sirkinizden</s>
<s>çıkarır</s>	<s>çıkarmıyoruz</s>	<s>çıkarmıyoruz</s>
<s>eklerdi</s>	<s>eklerimde</s>	<s>eklerimde</s>
<s>getirdi</s>	<s>getirmiyorsun</s>	<s>getirmiyorsun</s>
<s>aldınız</s>	<s>aldım</s>	<s>aldım</s>
<s>ısıları</s>	<s>ısılarına</s>	<s>ısılarına</s>
<s>hunimde</s>	<s>hunilerinin</s>	<s>hunilerinin</s>
<s>dakikam</s>	<s>dakikaların</s>	<s>dakikaların</s>
<s>gondolu</s>	<s>gondolumuzda</s>	<s>gondolumuzda</s>
<s>tütmedi</s>	<s>tütmem</s>	<s>tütmem</s>
<s>öykümüz</s>	<s>öykünüzü</s>	<s>öykünüzü</s>
<s>yolcuna</s>	<s>yolcularını</s>	<s>yolcularını</s>
<s>mazgala</s>	<s>mazgallarımızın</s>	<s>mazgallarımızın</s>
<s>uğrattı</s>	<s>uğratıyor</s>	<s>uğratıyor</s>
<s>saksocu</s>	<s>saksocuymuşlar</s>	<s>saksocuymuşlar</s>
<s>sağımda</s>	<s>sağıydık</s>	<s>sağdık</s>
<s>dışımın</s>	<s>dışlarda</s>	<s>dışlarda</s>
<s>gelişir</s>	<s>gelişmeyeceksin</s>	<s>gelişmeyeceksin</s>
<s>rotorda</s>	<s>rotorlarımızdan</s>	<s>rotorlarımızdan</s>
<s>yürümez</s>	<s>yürümediniz</s>	<s>yürümediniz</s>
<s>çığımın</s>	<s>çığınız</s>	<s>çığınız</s>
<s>kocamın</s>	<s>kocaydık</s>	<s>kocaydık</s>
<s>çilimin</s>	<s>çili</s>	<s>çili</s>
<s>fahişen</s>	<s>fahişelermiş</s>	<s>fahişelermiş</s>
<s>dalgada</s>	<s>dalgamızın</s>	<s>dalgamızın</s>
<s>müezzin</s>	<s>müezzin</s>	<s>müezzinin</s>
<s>âlimler</s>	<s>âlimlersiniz</s>	<s>âlimlersiniz</s>
<s>harcına</s>	<s>harçlarından</s>	<s>harçlarından</s>
<s>çubukta</s>	<s>çubuklarıma</s>	<s>çubuklarıma</s>
<s>çalgısı</s>	<s>çalgılarmışsınız</s>	<s>çalgılarmışsınız</s>
<s>hazcını</s>	<s>hazcıların</s>	<s>hazcıların</s>
<s>balkana</s>	<s>balkamıza</s>	<s>balkanımıza</s>
<s>alışmam</s>	<s>alışmadı</s>	<s>alışmadı</s>
<s>pornomu</s>	<s>pornoma</s>	<s>pornoma</s>
<s>kedimin</s>	<s>kedimize</s>	<s>kedimize</s>
<s>canının</s>	<s>canlarımızı</s>	<s>canlarımızı</s>
<s>belimde</s>	<s>bellerimizi</s>	<s>bellerimizi</s>
<s>üremden</s>	<s>ürenizde</s>	<s>ürenizde</s>
<s>dışının</s>	<s>dışınızın</s>	<s>dışınızın</s>
<s>kalpağa</s>	<s>kalpağın</s>	<s>kalpağın</s>
<s>kümeden</s>	<s>kümeyi</s>	<s>kümeyi</s>
<s>minarem</s>	<s>minarelerinden</s>	<s>minarelerinden</s>
<s>doğumda</s>	<s>doğumuna</s>	<s>doğumuna</s>
<s>rimelim</s>	<s>rimelinden</s>	<s>rimelinden</s>
<s>teklifi</s>	<s>tekliflerine</s>	<s>tekliflerine</s>
<s>belleğe</s>	<s>belleğine</s>	<s>belleğine</s>
<s>taşağın</s>	<s>taşaklarının</s>	<s>taşaklarının</s>
<s>finişte</s>	<s>finişine</s>	<s>finişine</s>
<s>uyumadı</s>	<s>uyuyacaklar</s>	<s>uyuyacaklar</s>
<s>zaferiz</s>	<s>zaferimize</s>	<s>zaferimize</s>
<s>mantiyi</s>	<s>mantisi</s>	<s>mantisi</s>
<s>biçimim</s>	<s>biçimine</s>	<s>biçimine</s>
<s>kobraya</s>	<s>kobradan</s>	<s>kobradan</s>
<s>bastılar</s>	<s>basıyordu</s>	<s>basıyordu</s>
<s>badanayı</s>	<s>badanalarda</s>	<s>badanalarda</s>
<s>masamdan</s>	<s>masalarımızı</s>	<s>masalarımızı</s>
<s>simidime</s>	<s>simitlerim</s>	<s>simitlerim</s>
<s>masanızı</s>	<s>masanda</s>	<s>masanda</s>
<s>yeniliği</s>	<s>yeniliği</s>	<s>yeniliği</s>
<s>delmedik</s>	<s>delmiyorum</s>	<s>delmiyorum</s>
<s>ongenler</s>	<s>ongeci</s>	<s>ongen</s>
<s>lokmanın</s>	<s>lokmasında</s>	<s>lokmasında</s>
<s>boğazıma</s>	<s>boğazlarıma</s>	<s>boğazlarıma</s>
<s>askısını</s>	<s>askıları</s>	<s>askıları</s>
<s>tanıttın</s>	<s>tanıtmıyorsunuz</s>	<s>tanıtmıyorsunuz</s>
<s>hüzününü</s>	<s>hüzünlerinde</s>	<s>hüzünlerinde</s>
<s>eğiliriz</s>	<s>eğilmeyeceksin</s>	<s>eğilmeyeceksin</s>
<s>muzlarım</s>	<s>muzlarımdan</s>	<s>muzlarımdan</s>
<s>keleğime</s>	<s>keleğinizden</s>	<s>keleğinizden</s>
<s>eksenime</s>	<s>eksenlerine</s>	<s>eksenlerine</s>
<s>abiyenin</s>	<s>abiyelere</s>	<s>abiyelere</s>
<s>çıkarmam</s>	<s>çıkardım</s>	<s>çıkardım</s>
<s>canlandı</s>	<s>canlanıyordunuz</s>	<s>canlanıyordunuz</s>
<s>silahına</s>	<s>silahınızın</s>	<s>silahınızın</s>
<s>bipimizi</s>	<s>bipini</s>	<s>bipini</s>
<s>emmezler</s>	<s>emmiyordum</s>	<s>emmiyordum</s>
<s>kupürüme</s>	<s>kupürümden</s>	<s>kupürümden</s>
<s>alnımıza</s>	<s>alnada</s>	<s>alında</s>
<s>kozanıza</s>	<s>kozalarınıza</s>	<s>kozalarınıza</s>
<s>düşünmez</s>	<s>düşünüyorsun</s>	<s>düşünüyorsun</s>
<s>yangınız</s>	<s>yangıymışız</s>	<s>yangınmışız</s>
<s>tıklamaz</s>	<s>tıklamadım</s>	<s>tıklamadım</s>
<s>kesernız</s>	<s>kesermızda</s>	<s>kesermızda</s>
<s>kapınızı</s>	<s>kapımıza</s>	<s>kapımıza</s>
<s>ilâçları</s>	<s>ilâçlarını</s>	<s>ilâçlarını</s>
<s>ürenizde</s>	<s>üreniz</s>	<s>üreniz</s>
<s>gazetede</s>	<s>gazeteni</s>	<s>gazeteni</s>
<s>kozdunuz</s>	<s>kozuz</s>	<s>kozuz</s>
<s>mügesine</s>	<s>mügelerini</s>	<s>mügelerini</s>
<s>rakamımı</s>	<s>rakamlar</s>	<s>rakamlar</s>
<s>embriyom</s>	<s>embriyolarının</s>	<s>embriyolarının</s>
<s>alıyordu</s>	<s>alıyorsun</s>	<s>alıyorsun</s>
<s>balıkçım</s>	<s>balıkçılarından</s>	<s>balıkçılarından</s>
<s>asetonum</s>	<s>asetonunun</s>	<s>asetonunun</s>
<s>ayakkabı</s>	<s>ayakkabının</s>	<s>ayakkabının</s>
<s>kadındık</s>	<s>kadınlarımız</s>	<s>kadınlarımız</s>
<s>otocudan</s>	<s>otocularından</s>	<s>otocularından</s>
<s>şamisene</s>	<s>şamiseni</s>	<s>şamisenini</s>
<s>ittirmez</s>	<s>ittirmiyorsunuz</s>	<s>ittirmiyorsunuz</s>
<s>takıydık</s>	<s>takımızın</s>	<s>takımızın</s>
<s>kuzuyduk</s>	<s>kuzularınızda</s>	<s>kuzularınızda</s>
<s>düzelmez</s>	<s>düzelmedin</s>	<s>düzelmedin</s>
<s>menümüzü</s>	<s>menülerine</s>	<s>menülerine</s>
<s>kabuktan</s>	<s>kabuklardan</s>	<s>kabuklardan</s>
<s>iletinin</s>	<s>iletiye</s>	<s>iletiye</s>
<s>bugünler</s>	<s>bugünümüzden</s>	<s>bugünümüzden</s>
<s>aramadım</s>	<s>aramayacağım</s>	<s>aramayacağım</s>
<s>hanımlar</s>	<s>hanımlarsınız</s>	<s>hanımlarsınız</s>
<s>ağdacısı</s>	<s>ağdacılarmışız</s>	<s>ağdacılarmışız</s>
<s>limonunu</s>	<s>limonları</s>	<s>limonları</s>
<s>söğütler</s>	<s>söğütlerine</s>	<s>söğütlerine</s>
<s>bitirmez</s>	<s>bitirmediniz</s>	<s>bitirmediniz</s>
<s>bacandan</s>	<s>bacalarınızda</s>	<s>bacalarınızda</s>
<s>haritayı</s>	<s>haritalarında</s>	<s>haritalarında</s>
<s>bacınıza</s>	<s>bacıları</s>	<s>bacıları</s>
<s>bikinide</s>	<s>bikinilerime</s>	<s>bikinilerime</s>
<s>sonuçtuk</s>	<s>sonuçlarında</s>	<s>sonuçlarında</s>
<s>plağımın</s>	<s>plağımızın</s>	<s>plağımızın</s>
<s>menisine</s>	<s>menüsünü</s>	<s>menisini</s>
<s>destanda</s>	<s>destanların</s>	<s>destanların</s>
<s>tozların</s>	<s>tozlarına</s>	<s>tozlarına</s>
<s>başkente</s>	<s>başkentinizin</s>	<s>başkentinizin</s>
<s>sülükler</s>	<s>sülük</s>	<s>sülük</s>
<s>cadılığı</s>	<s>cadılıkta</s>	<s>cadılıkta</s>
<s>kokladın</s>	<s>kokluyordu</s>	<s>kokluyordu</s>
<s>akdoğanı</s>	<s>akdoğan</s>	<s>akdoğan</s>
<s>dolaptan</s>	<s>dolaplarını</s>	<s>dolaplarını</s>
<s>aklımdan</s>	<s>aklımızda</s>	<s>aklımızda</s>
<s>öldürdün</s>	<s>öldürmedik</s>	<s>öldürmedik</s>
<s>tozlarız</s>	<s>tozlarından</s>	<s>tozlarından</s>
<s>krizimde</s>	<s>krizinizi</s>	<s>krizinizi</s>
<s>beyindik</s>	<s>beyinler</s>	<s>beyinler</s>
<s>işiyoruz</s>	<s>işemediler</s>	<s>işemediler</s>
<s>sistemim</s>	<s>sisteminde</s>	<s>sisteminde</s>
<s>aksanlar</s>	<s>aksan</s>	<s>aksan</s>
<s>cepheniz</s>	<s>cephesine</s>	<s>cephesine</s>
<s>sarısını</s>	<s>sarısında</s>	<s>sarısında</s>
<s>turşunun</s>	<s>turşunda</s>	<s>turşusunda</s>
<s>göçümüzü</s>	<s>göçün</s>	<s>göçün</s>
<s>keçisine</s>	<s>keçilerinizde</s>	<s>keçilerinizde</s>
<s>incirini</s>	<s>inciriniz</s>	<s>inciriniz</s>
<s>salatamı</s>	<s>salatamızda</s>	<s>salatamızda</s>
<s>çiçenizi</s>	<s>çiçelermiş</s>	<s>çiçelermiş</s>
<s>kokulara</s>	<s>kokularının</s>	<s>kokularının</s>
<s>çalışmaz</s>	<s>çalışmıyordu</s>	<s>çalışmıyordu</s>
<s>ölçüşmez</s>	<s>ölçüşmezler</s>	<s>ölçüşmezler</s>
<s>arıyorum</s>	<s>aramıyorum</s>	<s>aramıyorum</s>
<s>kalamara</s>	<s>kalamarımızda</s>	<s>kalamarımızda</s>
<s>eylülünü</s>	<s>eylüllerinin</s>	<s>eylüllerinin</s>
<s>piyanoda</s>	<s>piyanolarına</s>	<s>piyanolarına</s>
<s>uzuneşek</s>	<s>uzuneşeğe</s>	<s>uzuneşeğe</s>
<s>yazmadan</s>	<s>yazmalarımızdan</s>	<s>yazmalarımızdan</s>
<s>çizginde</s>	<s>çizgimizin</s>	<s>çizgimizin</s>
<s>çillerde</s>	<s>çilim</s>	<s>çilim</s>
<s>kurallar</s>	<s>kurallar</s>	<s>kurallar</s>
<s>kesmedin</s>	<s>kesti</s>	<s>kesti</s>
<s>balıktan</s>	<s>balığında</s>	<s>balığında</s>
<s>bandajım</s>	<s>bandajları</s>	<s>bandajları</s>
<s>mumyalar</s>	<s>mumyalarımızdan</s>	<s>mumyalarımızdan</s>
<s>günümüzü</s>	<s>gününden</s>	<s>gününden</s>
<s>çedardık</s>	<s>çedarlarını</s>	<s>çedarlarını</s>
<s>dizileri</s>	<s>diziler</s>	<s>diziler</s>
<s>lordunda</s>	<s>lordumuza</s>	<s>lordumuza</s>
<s>oyumuzda</s>	<s>oyunuzun</s>	<s>oyunuzun</s>
<s>çıpanızı</s>	<s>çıpaya</s>	<s>çıpaya</s>
<s>aynalara</s>	<s>aynalar</s>	<s>aynalar</s>
<s>kaderimi</s>	<s>kaderlere</s>	<s>kaderlere</s>
<s>iblisime</s>	<s>iblisinin</s>	<s>iblisinin</s>
<s>otogarım</s>	<s>otogarlarımdan</s>	<s>otogarlarımdan</s>
<s>çapımdan</s>	<s>çaplarınızdan</s>	<s>çaplarınızdan</s>
<s>tabanını</s>	<s>tabanlarımızdan</s>	<s>tabanlarımızdan</s>
<s>kutuları</s>	<s>kutumuz</s>	<s>kutumuz</s>
<s>itiyordu</s>	<s>itiyorlardı</s>	<s>itiyorlardı</s>
<s>atmaacak</s>	<s>atmamıyorsunuz</s>	<s>atmamıyorsunuz</s>
<s>bokumdan</s>	<s>bokunun</s>	<s>bokunun</s>
<s>aşkınızı</s>	<s>aşkla</s>	<s>aşka</s>
<s>marmelat</s>	<s>mahzenlerin</s>	<s>marmelatların</s>
<s>haberimi</s>	<s>haberleriniz</s>	<s>haberleriniz</s>
<s>reçelden</s>	<s>reçeller</s>	<s>reçeller</s>
<s>pipisine</s>	<s>pipimi</s>	<s>pipimi</s>
<s>konuşuruz</s>	<s>konuşmuyordun</s>	<s>konuşmuyordun</s>
<s>tacınızda</s>	<s>taçlarınızdan</s>	<s>taçlarınızdan</s>
<s>ittirtmem</s>	<s>ittirtiyorlardı</s>	<s>ittirtiyorlardı</s>
<s>kargaları</s>	<s>karga</s>	<s>karga</s>
<s>tatlılara</s>	<s>tatlıları</s>	<s>tatlıları</s>
<s>pazılarda</s>	<s>pazı</s>	<s>pazı</s>
<s>baharatın</s>	<s>baharatlarım</s>	<s>baharatlarım</s>
<s>gözlemden</s>	<s>gözlem</s>	<s>gözlem</s>
<s>şeylerdik</s>	<s>şeylerimizi</s>	<s>şeylerimizi</s>
<s>bitirmedi</s>	<s>bitirirler</s>	<s>bitirirler</s>
<s>modelinin</s>	<s>modelimiz</s>	<s>modelimiz</s>
<s>tulumunuz</s>	<s>tulumunun</s>	<s>tulumunun</s>
<s>masamızda</s>	<s>masanızın</s>	<s>masanızın</s>
<s>kıbleleri</s>	<s>kıblelerinizi</s>	<s>kıblelerinizi</s>
<s>abadinden</s>	<s>abadimizi</s>	<s>abadimizi</s>
<s>sendromda</s>	<s>sendromu</s>	<s>sendromu</s>
<s>tayfasına</s>	<s>tayfamızdan</s>	<s>tayfamızdan</s>
<s>ebediliğe</s>	<s>ebediliğinizin</s>	<s>ebediliğinizin</s>
<s>gazelleri</s>	<s>gazellerimizden</s>	<s>gazellerimizden</s>
<s>masanızda</s>	<s>masa</s>	<s>masa</s>
<s>ağladılar</s>	<s>ağlamam</s>	<s>ağlamam</s>
<s>deneyimde</s>	<s>deneyimi</s>	<s>deneyimi</s>
<s>nosyonunu</s>	<s>nosyonu</s>	<s>nosyonu</s>
<s>cezeryeme</s>	<s>cezeryelerinden</s>	<s>cezeryelerinden</s>
<s>otogarlar</s>	<s>otogarı</s>	<s>otogarı</s>
<s>erkeceyin</s>	<s>erkeceylerinizi</s>	<s>erkeceylerinizi</s>
<s>karpuzunu</s>	<s>karpuzlarında</s>	<s>karpuzlarında</s>
<s>duyuyordu</s>	<s>duymayacaklar</s>	<s>duymayacaklar</s>
<s>içeceğine</s>	<s>içecekler</s>	<s>içecekler</s>
<s>gafınızın</s>	<s>gaflarını</s>	<s>gaflarını</s>
<s>oyalamadı</s>	<s>oyalamayacağız</s>	<s>oyalamayacağız</s>
<s>eksikliğe</s>	<s>eksikliklerimizden</s>	<s>eksikliklerimizden</s>
<s>menekşede</s>	<s>menekşelerdik</s>	<s>menekşelerdik</s>
<s>şaşıyoruz</s>	<s>şaşıyorlar</s>	<s>şaşıyorlar</s>
<s>ehemmiyet</s>	<s>ehemmiyetlerinde</s>	<s>ehemmiyetlerinde</s>
<s>hecenizde</s>	<s>hecelerimizde</s>	<s>hecelerimizde</s>
<s>ayılarmış</s>	<s>ayılardan</s>	<s>ayılardan</s>
<s>büzüğünde</s>	<s>büzüklerinde</s>	<s>büzüklerinde</s>
<s>asalarına</s>	<s>asalarım</s>	<s>asalarım</s>
<s>aktörleri</s>	<s>aktörleriniz</s>	<s>aktörleriniz</s>
<s>alıcımdan</s>	<s>alıçlarını</s>	<s>alıçlarını</s>
<s>odacılara</s>	<s>odacılarmış</s>	<s>odacılarmış</s>
<s>kurumunda</s>	<s>kurumlarımızı</s>	<s>kurumlarımızı</s>
<s>sınırımın</s>	<s>sınırımıza</s>	<s>sınırımıza</s>
<s>dilberine</s>	<s>dilberlere</s>	<s>dilberlere</s>
<s>eklerimin</s>	<s>ekleriz</s>	<s>ekleriz</s>
<s>meninizin</s>	<s>menilerinden</s>	<s>menilerinden</s>
<s>kılımızın</s>	<s>kıllarımızı</s>	<s>kıllarımızı</s>
<s>eziyetine</s>	<s>eziyetinize</s>	<s>eziyetinize</s>
<s>krakerini</s>	<s>krakerlerimizden</s>	<s>krakerlerimizden</s>
<s>çözeltime</s>	<s>çözelti</s>	<s>çözelti</s>
<s>integrale</s>	<s>integralimizin</s>	<s>integralimizin</s>
<s>ettirttik</s>	<s>ettirteceksin</s>	<s>ettirteceksin</s>
<s>gözlemeye</s>	<s>gözlemelerinde</s>	<s>gözlemelerinde</s>
<s>nohutları</s>	<s>nohutları</s>	<s>nohutları</s>
<s>laçolardı</s>	<s>laçolarınızın</s>	<s>laçolarınızın</s>
<s>menekşede</s>	<s>menekşemiz</s>	<s>menekşemiz</s>
<s>proxyleri</s>	<s>proxyde</s>	<s>proxyde</s>
<s>tecrübeyi</s>	<s>tecrübelerini</s>	<s>tecrübelerini</s>
<s>uyuyordun</s>	<s>uymazlar</s>	<s>uyumazlar</s>
<s>gelinliği</s>	<s>gelinliği</s>	<s>gelinliği</s>
<s>öğretmedi</s>	<s>öğretmeyeceğim</s>	<s>öğretmeyeceğim</s>
<s>sağımızda</s>	<s>sağlar</s>	<s>sağlar</s>
<s>sonuçları</s>	<s>sonucundan</s>	<s>sonucundan</s>
<s>filimizde</s>	<s>filime</s>	<s>filime</s>
<s>asetonumu</s>	<s>asetonlarında</s>	<s>asetonlarında</s>
<s>sözümüzde</s>	<s>sözümün</s>	<s>sözümün</s>
<s>içlerinde</s>	<s>içimin</s>	<s>içimin</s>
<s>kelliğine</s>	<s>kelliğimizin</s>	<s>kelliğimizin</s>
<s>sayfanızı</s>	<s>sayfasınız</s>	<s>sayfasınız</s>
<s>bitimizde</s>	<s>bitiydik</s>	<s>bittik</s>
<s>âlemimizi</s>	<s>âlemlerinden</s>	<s>âlemlerinden</s>
<s>popoların</s>	<s>poponun</s>	<s>poponun</s>
<s>sisimizde</s>	<s>sislerinizde</s>	<s>sislerinizde</s>
<s>şaşırmadı</s>	<s>şaşıracağım</s>	<s>şaşıracağım</s>
<s>yapmasına</s>	<s>yapmaların</s>	<s>yapmaların</s>
<s>kılıfımın</s>	<s>kılıflarımızı</s>	<s>kılıflarımızı</s>
<s>korsanına</s>	<s>korsanında</s>	<s>korsanında</s>
<s>aksanımda</s>	<s>aksan</s>	<s>aksan</s>
<s>beyazımın</s>	<s>beyazınıza</s>	<s>beyazınıza</s>
<s>kaçağında</s>	<s>kaçaklardan</s>	<s>kaçaklardan</s>
<s>akşamımız</s>	<s>akşamlarımıza</s>	<s>akşamlarımıza</s>
<s>çaplarmış</s>	<s>çaplar</s>	<s>çaplar</s>
<s>çiziyordu</s>	<s>çizdik</s>	<s>çizdik</s>
<s>ekimizden</s>	<s>eklerinden</s>	<s>eklerinden</s>
<s>rubainize</s>	<s>rubailerinin</s>	<s>rubailerinin</s>
<s>hunilerim</s>	<s>hunilerimizden</s>	<s>hunilerimizden</s>
<s>dişleğime</s>	<s>dişleklerde</s>	<s>dişleklerde</s>
<s>tapacağız</s>	<s>tapmıyorum</s>	<s>tapmıyorum</s>
<s>uyanırsın</s>	<s>uyanmazlar</s>	<s>uyanmazlar</s>
