otuz bircimiz	otuz birciNNOMSGPSS1P
önceliklerinden	öncelikNABLPLPSS2S
yollar	yolNLGSPEC13SPLPRS
akşamın	akşamNGENSG
sanatlarında	sanatNLOCPLPSS2S
kartallarımızı	kartalNACCPLPSS1P
programlatır mıyız?	programlatmakVIND1PLPRSPOSINTR
ilerileri	ileriNNOMPLPSS3P
kaynaşır mısın?	kaynaşmakVIND2SGPRSPOSINTR
papazlarıma	papazNDATPLPSS1S
kötüleştirmedin	kötüleştirmekVIND2SGPSTNEGDECL
şikâyetini	şikâyetNACCSGPSS2S
aygırlardım	aygırNLGSPEC11SPLPST
siğillerinden	siğilNABLPLPSS3P
sevenleriniz	sevenNNOMPLPSS2P
üreticilerimizden	üreticiNABLPLPSS1P
titriyor muyuz?	titremekVIND1PLPRSPROGPOSINTR
çorbalarına	çorbaNDATPLPSS3S
hamtlarımın	hamtNGENPLPSS1S
masörüme	masörNDATSGPSS1S
götler	götNNOMPL
ernekleri	ernekNNOMPLPSS3P
âlemlerinize	âlemNDATPLPSS2P
orospularında	orospuNLOCPLPSS2S
kolikalarımızdan	kolikaNABLPLPSS1P
yörekentimize	yörekentNDATSGPSS1P
lezzetleriniz	lezzetNNOMPLPSS2P
rüyasın	rüyaNLGSPEC12SSGPRS
katıyor muydu?	katmakVIND3SGPSTPROGPOSINTR
odaklarımız	odakNNOMPLPSS1P
gelindin mi?	gelinmekVIND2SGPSTPOSINTR
saymaz	saymakVIND3SGPRSNEGDECL
musluklarında	muslukNLOCPLPSS3S
başkanından	başkanNABLSGPSS2S
farelerini	fareNACCPLPSS2S
kloroplasta	kloroplastNDATSG
bitirmiyor	bitirmekVIND3SGPRSPROGNEGDECL
sekmelerimden	sekmeNABLPLPSS1S
kürkeleriniz	kürkeNNOMPLPSS2P
satrançlarınıza	satrançNDATPLPSS2P
peynirli keklerdi	peynirli kekNLGSPEC13SPLPST
pipetlerinin	pipetNGENPLPSS2S
yamukların	yamukNGENPL
bükmemelerimiz	bükmemeNNOMPLPSS1P
coşkuluydular	coşkuluADJLGSPEC1PST3PLPOSDECL
aynasızından	aynasızNABLSGPSS2S
marulu	marulNNOMSGPSS3S
kömümüzden	kömNABLSGPSS1P
keçiydiler	keçiNLGSPEC13PSGPST
ilklendirmez misin?	ilklendirmekVIND2SGPRSNEGINTR
kefallarım	kefalNNOMPLPSS1S
rotorlarının	rotorNGENPLPSS3S
üvey evladınız	üvey evlatNNOMSGPSS2P
modelmişler	modelNLGSPEC13PSGLGSPEC2
genelevleri	genelevNNOMSGPSS3P
türersiniz	türemekVIND2PLPRSPOSDECL
salıncaklarınıza	salıncakNDATPLPSS2P
desenleri	desenNNOMPLPSS3S
düzinelerinin	düzineNGENPLPSS3S
zahmetlere	zahmetNDATPL
ay ışığını	ay ışığıNACCSG
işitiyor musun?	işitmekVIND2SGPRSPROGPOSINTR
öldürtülecekler mi?	öldürtülmekVIND3PLFUTPOSINTR
ispatlamazsınız	ispatlamakVIND2PLPRSNEGDECL
büktürmeyecek misin?	büktürmekVIND2SGFUTNEGINTR
tenlerinden	tenNABLPLPSS2S
hafta sonuna	hafta sonuNDATSG
kütüğünde	kütükNLOCSGPSS2S
salamına	salamNDATSGPSS2S
gölgelerine	gölgeNDATPLPSS3P
teşkilatından	teşkilatNABLSGPSS3S
koordinatınıza	koordinatNDATSGPSS2P
ıstakozumuzdan	ıstakozNABLSGPSS1P
yaymadın	yaymakVIND2SGPSTNEGDECL
alemlerimizin	alemNGENPLPSS1P
verimsizleştiriyor musunuz?	verimsizleştirmekVIND2PLPRSPROGPOSINTR
omuzlarımızda	omuzNLOCPLPSS1P
kovalar	kovaNNOMPL
değişkenlerin	değişkenNGENPL
mallarında	malNLOCPLPSS3P
üşeniyorsunuz	üşenmekVIND2PLPRSPROGPOSDECL
programlatıyorlar mı?	programlatmakVIND3PLPRSPROGPOSINTR
damatlarımın	damatNGENPLPSS1S
kursiyeriniz	kursiyerNNOMSGPSS2P
kerpetenlerime	kerpetenNDATPLPSS1S
jelatinim	jelatinNNOMSGPSS1S
can vermezsiniz	can vermekVIND2PLPRSNEGDECL
karnenden	karneNABLSGPSS2S
mutfağımızda	mutfakNLOCSGPSS1P
kanıtlar mıyım?	kanıtlamakVIND1SGPRSPOSINTR
çürümüyorlar mı?	çürümekVIND3PLPRSPROGNEGINTR
programlatmıyordular	programlatmakVIND3PLPSTPROGNEGDECL
helvalarda	helvaNLOCPL
rehberlerinden	rehberNABLSGPSS3P
nalları dikiyor muyum?	nalları dikmekVIND1SGPRSPROGPOSINTR
jiletini	jiletNACCSGPSS2S
eğleniyor muydum?	eğlenmekVIND1SGPSTPROGPOSINTR
avcı sineklerinde	avcı sinekNLOCPLPSS3P
masallarıma	masalNDATPLPSS1S
hendesemin	hendeseNGENSGPSS1S
konuştaylar	konuştayNNOMPL
üvey kızlarını	üvey kızNACCPLPSS3P
dönme dolabın	dönme dolapNGENSG
oynamayacaksın	oynamakVIND2SGFUTNEGDECL
kulundan	kulNABLSGPSS2S
topolojinin	topolojiNGENSG
övmez	övmekVIND3SGPRSNEGDECL
müzikallerinizi	müzikalNACCPLPSS2P
kapamamıza	kapamaNDATSGPSS1P
ölçtürtecek	ölçtürtmekVIND3SGFUTPOSDECL
düldüllerini	düldülNACCPLPSS2S
savaşçılardım	savaşçıNLGSPEC11SPLPST
önemliliğinin	önemlilikNGENSGPSS3S
balıkçılardan	balıkçıNABLPL
arkadaşlığın	arkadaşlıkNNOMSGPSS2S
uzaktan kumandalarımı	uzaktan kumandaNACCPLPSS1S
oyuncularında	oyuncuNLOCPLPSS3S
odacılarında	odacıNLOCPLPSS2S
boyamıyordular	boyamakVIND3PLPSTPROGNEGDECL
sürülmez misin?	sürülmekVIND2SGPRSNEGINTR
sistemlerimizden	sistemNABLPLPSS1P
kovdurmadılar	kovdurmakVIND3PLPSTNEGDECL
büzlerden	büzNABLPL
vahalarına	vahaNDATSGPSS3P
kukularda	kukuNLOCPL
öldürtüleceksin	öldürtülmemekVIND2SGFUTPOSDECL
derece	dereceNNOMSG
purolarını	puroNACCPLPSS3S
patlıcanlara	patlıcanNDATPL
tükenmedin	tükenmekVIND2SGPSTNEGDECL
mahzenlerinin	mahzenNGENSGPSS3P
önümü	önNACCSGPSS1S
kullardı	kulNLGSPEC13PPLPST
bacıya	bacıNDATSG
örneğinizin	örnekNGENSGPSS2P
mutsuz değil miydi?	mutsuzADJLGSPEC1PST3SGNEGINTR
büstümde	büstNLOCSGPSS1S
kelimeymişsiniz	kelimeNLGSPEC12PSGLGSPEC2
mezuniyetlerimin	mezuniyetNGENPLPSS1S
temsilciliklerdim	temsilcilikNLGSPEC11SPLPST
dolmuşunun	dolmuşNGENSGPSS3S
tayfasına	tayfaNDATSGPSS3S
hurilerimi	huriNACCPLPSS1S
makine dillerinde	makine diliNLOCPL
beklemelere	beklemeNDATPL
çalgınızın	çalgıNGENSGPSS2P
parçacığınızın	parçacıkNGENSGPSS2P
zartayı çekmiyor muyduk?	zartayı çekmekVIND1PLPSTPROGNEGINTR
Hakk'ın rahmetine kavuşmadı mı?	Hakk'ın rahmetine kavuşmakVIND3SGPSTNEGINTR
gösterilerini	gösteriNACCPLPSS3S
ağlamalarınız	ağlamaNNOMPLPSS2P
gömleğimizin	gömlekNGENSGPSS1P
hocayı	hocaNACCSG
duymamalarına	duymamaNDATPLPSS2S
satırttım mı?	sattırmakVIND1SGPSTPOSINTR
kuyruklu yıldızlarından	kuyruklu yıldızNABLSGPSS3P
pastalarınızın	pastaNGENPLPSS2P
âliminizde	âlimNLOCSGPSS2P
milyonerler	milyonerNLGSPEC13PSGPRS
kaplumbağaları	kaplumbağaNACCPL
sürümedim mi?	sürümekVIND1SGPSTNEGINTR
benekler	benekNLGSPEC13PSGPRS
motelimize	motelNDATSGPSS1P
çalışıyor musunuz?	çalışmakVIND2PLPRSPROGPOSINTR
taşımadın	taşımakVIND2SGPSTNEGDECL
yeterlikleri	yeterlikNACCPL
şafaklarının	şafakNGENPLPSS2S
yayalarımdan	yayaNABLPLPSS1S
derecekler	dermekVIND3PLFUTPOSDECL
belirli integralleri	belirli integralNNOMPLPSS3S
ürelerimin	üreNGENPLPSS1S
yolundurttun mu?	yolundurtmakVIND2SGPSTPOSINTR
yoldum	yolNLGSPEC11SSGPST
tekilalarının	tekilaNGENPLPSS2S
bıçaklarınıza	bıçakNDATPLPSS2P
silkmezsiniz	silkmekVIND2PLPRSNEGDECL
batımda	batıNLOCSGPSS1S
doğularım	doğuNLGSPEC11SPLPRS
ilişkisel modellerine	ilişkisel modelNDATPLPSS2S
kara sineğinizin	kara sinekNGENSGPSS2P
helikopter	helikopterNNOMSG
imrenmeyecek misiniz?	imrenmekVIND2PLFUTNEGINTR
hazcılığımı	hazcılıkNACCSGPSS1S
mühimliklerinden	mühimlikNABLPLPSS3P
boklarını	bokNACCPLPSS3S
kalıbı değiştiriyoruz	kalıbı değiştirmekVIND1PLPRSPROGPOSDECL
külfetini	külfetNACCSGPSS3S
popolarının	popoNGENPLPSS3P
başçıklarınıza	başçıkNDATPLPSS2P
koymazlar mı?	koymakVIND3PLPRSNEGINTR
dövmelerin	dövmeNGENPL
baykuşlarımızdan	baykuşNABLPLPSS1P
tipimi	tipNACCSGPSS1S
atışıyordunuz	atışmakVIND2PLPSTPROGPOSDECL
pöhrenkler	pöhrenkNLGSPEC13PSGPRS
bitkimde	bitkiNLOCSGPSS1S
kırığını	kırıkNACCSGPSS2S
lüferime	lüferNDATSGPSS1S
kaybolmazsın	kaybolmakVIND2SGPRSNEGDECL
kokunuzun	kokuNGENSGPSS2P
dişleklerime	dişlekNDATPLPSS1S
damatlıktan	damatlıkNABLSG
eldivenimiz	eldivenNNOMSGPSS1P
eller	ellemekVIND3SGPRSPOSDECL
milimetrende	milimetreNLOCSGPSS2S
dublörleriniz	dublörNNOMPLPSS2P
sabit diskini	sabit diskNACCSGPSS2S
kayağımız	kayakNNOMSGPSS1P
hiperbolünüzün	hiperbolNGENSGPSS2P
aşmayacak mı?	aşmakVIND3SGFUTNEGINTR
orospularını	orospuNACCPLPSS3P
coşkularımda	coşkuNLOCPLPSS1S
daldınız	dalmakVIND2PLPSTPOSDECL
garsonunu	garsonNACCSGPSS2S
avukatının	avukatNGENSGPSS2S
giriyor mu?	girmekVIND3SGPRSPROGPOSINTR
sik kafalar	sik kafaNNOMPL
zombilerden	zombiNABLPL
dolmuşuna	dolmuşNDATSGPSS2S
üst bağlarınızın	üst bağNGENPLPSS2P
model-view-controllerinden	model-view-controllerNABLSGPSS2S
şişman istemcisinde	şişman istemciNLOCSGPSS3S
kozasına	kozaNDATSGPSS3S
çiçeymiş	çiçeNLGSPEC13SSGLGSPEC2
kabuklarınızda	kabukNLOCPLPSS2P
pişeceksin	pişmekVIND2SGFUTPOSDECL
monoloğum	monologNNOMSGPSS1S
palmiyenin	palmiyeNGENSG
midyeleri	midyeNNOMPLPSS3P
ağalarmışım	ağaNLGSPEC11SPLLGSPEC2
düzenlenebilirliklerinize	düzenlenebilirlikNDATPLPSS2P
yerleşeceksiniz	yerleşmekVIND2PLFUTPOSDECL
boşanacaksınız	boşanmakVIND2PLFUTPOSDECL
bitkiymişim	bitkiNLGSPEC11SSGLGSPEC2
sıpan	sıpaNNOMSGPSS2S
bükersin	bükmekVIND2SGPRSPOSDECL
