peynirli pastalarınızı	peynirli pastaNACCPLPSS2P
modellerimizden	modelNABLPLPSS1P
sülüslerine	sülüsNDATPLPSS3P
taşıyorsunuz	taşımakVIND2PLPRSPROGPOSDECL
yolculuklarına	yolculukNDATPLPSS3P
içiyorlar mı?	içmekVIND3PLPRSPROGPOSINTR
kızmıyorum	kızmakVIND1SGPRSPROGNEGDECL
dondurmalarından	dondurmaNABLSGPSS3P
eşiğe	eşikNDATSG
evcikkıranlardı	evcikkıranNLGSPEC13PPLPST
toprak olmayacağız	toprak olmakVIND1PLFUTNEGDECL
striptizleri	striptizNNOMSGPSS3P
tutacağım	tutmakVIND1SGFUTPOSDECL
öznelerinin	özneNGENPLPSS3P
tutulmama	tutulmaNDATSGPSS1S
cihanında	cihanNLOCSGPSS3S
çizecek miyim?	çizmekVIND1SGFUTPOSINTR
menine	meniNDATSGPSS2S
geberiyor muyum?	gebermekVIND1SGPRSPROGPOSINTR
cinselliği	cinsellikNACCSG
dudaklarımızdan	dudakNABLPLPSS1P
aşığımızı	aşıkNACCSGPSS1P
ziyaretçilermişsiniz	ziyaretçiNLGSPEC12PPLLGSPEC2
kırbaçlarından	kırbaçNABLSGPSS3P
yoksullaştırmıyoruz	yoksullaştırmakVIND1PLPRSPROGNEGDECL
kış uykusuna yatmazlar	kış uykusuna yatmakVIND3PLPRSNEGDECL
oynatıcısını	oynatıcıNACCSGPSS3S
şerbetçilerdiniz	şerbetçiNLGSPEC12PPLPST
yıpratmıyor musun?	yıpratmakVIND2SGPRSPROGNEGINTR
eksikliklerinden	eksiklikNABLSGPSS3P
seyahatlerimden	seyahatNABLPLPSS1S
yeriyorlar mı?	yermekVIND3PLPRSPROGPOSINTR
masumiyetimiz	masumiyetNNOMSGPSS1P
uçurtmalarmış	uçurtmaNLGSPEC13PPLLGSPEC2
giysilerinin	giysiNGENSGPSS3P
dalgalandırıyor muydu?	dalgalandırmakVIND3SGPSTPROGPOSINTR
dirilmezim	dirilmemekVIND1SGPRSPOSDECL
çoktan seçmeli sorumuzdan	çoktan seçmeli soruNABLSGPSS1P
platformları	platformNACCPL
sonbaharlarımı	sonbaharNACCPLPSS1S
ettirttin	ettirtmekVIND2SGPSTPOSDECL
kalamarları	kalamarNNOMPLPSS3P
prototiplemelerimiz	prototiplemeNNOMPLPSS1P
pisletmiyordular	pisletmekVIND3PLPSTPROGNEGDECL
derlemede	derlemeNLOCSG
körlüklerin	körlükNGENPL
medreseleri	medreseNNOMPLPSS3S
şerbetçimden	şerbetçiNABLSGPSS1S
temizlimeyecek miyiz?	temizlemekVIND1PLFUTNEGINTR
ilklendirdiniz mi?	ilklendirmekVIND2PLPSTPOSINTR
esrarengizmişler	esrarengizADJLGSPEC1LGSPEC23PLPOSDECL
totemciliklerine	totemcilikNDATPLPSS2S
dalgasının	dalgaNGENSGPSS3S
sararmadınız	sararmakVIND2PLPSTNEGDECL
süzgeciniz	süzgeçNNOMSGPSS2P
tıraş olmuyordum	tıraş olmakVIND1SGPSTPROGNEGDECL
sindirimlerinizi	sindirimNACCPLPSS2P
startlarımda	startNLOCPLPSS1S
sözcüğümüz	sözcükNNOMSGPSS1P
kurutmadım	kurutmakVIND1SGPSTNEGDECL
çarmıhıma	çarmıhNDATSGPSS1S
gırtlağın	gırtlakNNOMSGPSS2S
kolonyalardı	kolonyaNLGSPEC13SPLPST
açıyorlardı	açmakVIND3PLPSTPROGPOSDECL
röportajlarınız	röportajNNOMPLPSS2P
kızanımın	kızanNGENSGPSS1S
musluğu	muslukNNOMSGPSS3S
yeter misin?	yetmekVIND2SGPRSPOSINTR
yapıştın	yapışmakVIND2SGPSTPOSDECL
yanıtın	yanıtNNOMSGPSS2S
altını çizmiyordunuz	altını çizmekVIND2PLPSTPROGNEGDECL
hükûmetinizden	hükûmetNABLSGPSS2P
ekşitmiyorlar mıydı?	ekşitmekVIND3PLPSTPROGNEGINTR
bankınızın	bankNGENSGPSS2P
gri kedimde	gri kediNLOCSGPSS1S
yayıyor musun?	yaymakVIND2SGPRSPROGPOSINTR
yankılarımızı	yankıNACCPLPSS1P
dışkıda	dışkıNLOCSG
şarkıcılarmışsın	şarkıcıNLGSPEC12SPLLGSPEC2
hastalıklarda	hastalıkNLOCPL
klatratımız	klatratNNOMSGPSS1P
kerpiçleriniz	kerpiçNNOMPLPSS2P
kanıtlayacaksın	kanıtlamakVIND2SGFUTPOSDECL
penislerimin	penisNGENPLPSS1S
havralarınız	havraNNOMPLPSS2P
vekil sunucusunuz	vekil sunucuNLGSPEC12PSGPRS
giymiyor	giymekVIND3SGPRSPROGNEGDECL
barışın	barışNNOMSGPSS2S
maymununun	maymunNGENSGPSS2S
süre sınırlamalarının	süre sınırlamasıNGENPL
seccadelerden	seccadeNABLPL
mazotundan	mazotNABLSGPSS2S
sabanın	sabanNGENSG
açılmıyordu	açılmakVIND3SGPSTPROGNEGDECL
yolundum mu?	yolunmakVIND1SGPSTPOSINTR
pelikanlardın	pelikanNLGSPEC12SPLPST
mimari desenlerine	mimari desenNDATPLPSS3S
fragman	fragmanNNOMSG
sorumluluğunuzun	sorumlulukNGENSGPSS2P
söndük mü?	sönmekVIND1PLPSTPOSINTR
bitmem	bitmeNNOMSGPSS1S
çalıştınız	çalışmakVIND2PLPSTPOSDECL
yapışmaları	yapışmaNNOMPLPSS3S
içyüzlerimizi	içyüzNACCPLPSS1P
kontak lenslerinde	kontak lensNLOCPLPSS3P
homonimleriniz	homonimNNOMPLPSS2P
sürtüklerdiniz	sürtükNLGSPEC12PPLPST
çekirdeğime	çekirdekNDATSGPSS1S
canlanılmıyor mu?	canlanılmakVIND3SGPRSPROGNEGINTR
el sıkışmayız	el sıkışmakVIND1PLPRSNEGDECL
ecellerine	ecelNDATPLPSS2S
yüksek fırınlar	yüksek fırınNNOMPL
hikayenün	hikayeNGENSG
Nusayrîleri	NusayrîNACCPL
kansızlıklarından	kansızlıkNABLPLPSS2S
homurdanmama	homurdanmaNDATSGPSS1S
âlemlerini	âlemNACCPLPSS2S
mucizelerdim	mucizeNLGSPEC11SPLPST
Zagreplilerinden	ZagrepliNABLPLPSS2S
öğretmenmiş	öğretmenNLGSPEC13SSGLGSPEC2
giymezler mi?	giymekVIND3PLPRSNEGINTR
manalarımızı	manaNACCPLPSS1P
toteminden	totemNABLSGPSS3S
dövüşçünüze	dövüşçüNDATSGPSS2P
pembe dizilerinde	pembe diziNLOCPLPSS3P
odacılarına	odacıNDATSGPSS3P
lunaparkınızı	lunaparkNACCSGPSS2P
seçilmeyeceğiz	seçilmekVIND1PLFUTNEGDECL
kaplanların	kaplanNGENPL
mucizelerde	mucizeNLOCPL
hecemi	heceNACCSGPSS1S
yoldurmaz mıyım?	yoldurmakVIND1SGPRSNEGINTR
tutkumuza	tutkuNDATSGPSS1P
külotlu çorabım	külotlu çorapNNOMSGPSS1S
porsuklarını	porsukNACCPLPSS2S
açar mıyım?	açmakVIND1SGPRSPOSINTR
bitirir miyiz?	bitirmekVIND1PLPRSPOSINTR
startlarınızı	startNACCPLPSS2P
bilyelerine	bilyeNDATSGPSS3P
sihirli miymişler?	sihirliADJLGSPEC1LGSPEC23PLPOSINTR
cartayı çekmeyecek	cartayı çekmekVIND3SGFUTNEGDECL
blogları	blogNNOMPLPSS3S
geyşan	geyşaNNOMSGPSS2S
kıydım	kıymakVIND1SGPSTPOSDECL
yetkileriniz	yetkiNNOMPLPSS2P
ikincil sürüm	ikincil sürümNNOMSG
külahımızdan	külahNABLSGPSS1P
izlencelerimin	izlenceNGENPLPSS1S
iğdede	iğdeNLOCSG
manandan	manaNABLSGPSS2S
sağlayıcılarını	sağlayıcıNACCPLPSS2S
örneğimiz	örnekNNOMSGPSS1P
kehribarlarımıza	kehribarNDATPLPSS1P
dışlarında	dışNLOCPLPSS3P
asteroide	asteroitNDATSG
işkencelerimizde	işkenceNLOCPLPSS1P
öfkelendirir mi?	öfkelendirmekVIND3SGPRSPOSINTR
okumayacak mıyız?	okumakVIND1PLFUTNEGINTR
nüfuza	nüfuzNDATSG
ışınlarını	ışınNACCPLPSS3S
bekletmeyeceksin	bekletmekVIND2SGFUTNEGDECL
sıradan mıydım?	sıradanADJLGSPEC1PST1SGPOSINTR
model-view-presenterlerimde	model-view-presenterNLOCPLPSS1S
makinalarından	makinaNABLSGPSS3P
yerlerinde	yerNLOCSGPSS3P
kelimeymişiz	kelimeNLGSPEC11PSGLGSPEC2
çiftine	çiftNDATSGPSS2S
mermilerdi	mermiNLGSPEC13SPLPST
pusmuyor muydu?	pusmakVIND3SGPSTPROGNEGINTR
düklerini	dükNACCSGPSS3P
kırıtmadım	kırıtmakVIND1SGPSTNEGDECL
ongunculuklarınızda	ongunculukNLOCPLPSS2P
enstrümanınız	enstrümanNNOMSGPSS2P
hanımmışız	hanımNLGSPEC11PSGLGSPEC2
adsızım	adsızADJLGSPEC1PRS1SGPOSDECL
kartpostalımızın	kartpostalNGENSGPSS1P
sultanınıza	sultanNDATSGPSS2P
kapatıyorlar mı?	kapatmakVIND3PLPRSPROGPOSINTR
evlenmeyecek miyiz?	evlenmekVIND1PLFUTNEGINTR
sevgililerinizi	sevgiliNACCPLPSS2P
koymuyoruz	koymakVIND1PLPRSPROGNEGDECL
işlemene	işlemeNDATSGPSS2S
sebeplerini	sebepNACCPLPSS3S
evcil sineklerinden	evcil sinekNABLPLPSS2S
yeleklerinin	yelekNGENSGPSS3P
jelatinleri	jelatinNNOMPLPSS3S
filde	filNLOCSG
lezbiyenlermişiz	lezbiyenNLGSPEC11PPLLGSPEC2
vadelerinde	vadeNLOCPLPSS3S
romanların	romanNNOMPLPSS2S
pozisyonlarda	pozisyonNLOCPL
aşık olmuyoruz	aşık olmakVIND1PLPRSPROGNEGDECL
parlatmayacağım	parlatmakVIND1SGFUTNEGDECL
bükecekler mi?	bükmekVIND3PLFUTPOSINTR
salahiyetlerinde	salahiyetNLOCSGPSS3P
çığırtkanlığından	çığırtkanlıkNABLSGPSS2S
birleşmediniz	birleşmekVIND2PLPSTNEGDECL
seks yapar mı?	seks yapmakVIND3SGPRSPOSINTR
işlevlerinde	işlevNLOCPLPSS3S
gelinmez misiniz?	gelinmekVIND2PLPRSNEGINTR
kravatınızda	kravatNLOCSGPSS2P
beyitler	beyitNLGSPEC13SPLPRS
krakerden	krakerNABLSG
kabalıklara	kabalıkNDATPL
söz vereceğiz	söz vermekVIND1PLFUTPOSDECL
huzurlarından	huzurNABLPLPSS3P
bozayılarınızı	bozayıNACCPLPSS2P
yağlayıcılarda	yağlayıcıNLOCPL
doğuyorlar	doğmakVIND3PLPRSPROGPOSDECL
fikolojileri	fikolojiNACCPL
doktorunun	doktorNGENSGPSS2S
durdu	durmakVIND3SGPSTPOSDECL
balkanlarına	balkanNDATSGPSS3P
yıktı mı?	yıkmakVIND3SGPSTPOSINTR
söyleşilerime	söyleşiNDATPLPSS1S
derilerimizin	deriNGENPLPSS1P
bitkilerden	bitkiNABLPL
bastonu	bastonNNOMSGPSS3S
cezeriyemizde	cezeriyeNLOCSGPSS1P
reaktörleri	reaktörNNOMPLPSS3S
kusmasından	kusmaNABLSGPSS3S
kuvvetsizliklerini	kuvvetsizlikNACCPLPSS2S
hayırseverlerinde	hayırseverNLOCPLPSS2S
ortamlarımızın	ortamNGENPLPSS1P
arzumuza	arzuNDATSGPSS1P
klişelere	klişeNDATPL
şaşırttırmıyor musunuz?	şaşırttırmakVIND2PLPRSPROGNEGINTR
teoreminizi	teoremNACCSGPSS2P
nöronlarınıza	nöronNDATPLPSS2P
totemciliklerini	totemcilikNACCPLPSS3P
öldürtüyor muydum?	öldürtmekVIND1SGPSTPROGPOSINTR
günahkârınızın	günahkârNGENSGPSS2P
sunmuyordum	sunmakVIND1SGPSTPROGNEGDECL
çökertilerime	çökertiNDATPLPSS1S
vaziyetine	vaziyetNDATSGPSS3S
Türk kahvesine	Türk kahvesiNDATSG
gündöndüde	gündöndüNLOCSG
kediciklersin	kedicikNLGSPEC12SPLPRS
diliyor muydunuz?	dilmekVIND2PLPSTPROGPOSINTR
patenimin	patenNGENSGPSS1S
çökmeyecek miyiz?	çökmekVIND1PLFUTNEGINTR
trenin	trenNGENSG
sinematografını	sinematografNACCSGPSS2S
yardımcıların	yardımcıNGENPL
eğitiminin	eğitimNGENSGPSS2S
kalmıyor musunuz?	kalmakVIND2PLPRSPROGNEGINTR
babaanne	babaanneNNOMSG
dolap çevirmiyorlar	dolap çevirmekVIND3PLPRSPROGNEGDECL
motorinlerini	motorinNACCPLPSS2S
sakinimde	sakinNLOCSGPSS1S
çalmıyorlar mı?	çalmakVIND3PLPRSPROGNEGINTR
ekstremumunda	ekstremumNLOCSGPSS3S
dolap çevirdiler	dolap çevirmekVIND3PLPSTPOSDECL
süsünün	süsNGENSGPSS3S
yapışmıyor muyduk?	yapışmakVIND1PLPSTPROGNEGINTR
alametiz	alametNLGSPEC11PSGPRS
Hakk'ın rahmetine kavuşmazlar mı?	Hakk'ın rahmetine kavuşmakVIND3PLPRSNEGINTR
gerçek sayıyı	gerçek sayıNACCSG
sınırları	sınırNACCPL
örtülerdin	örtüNLGSPEC12SPLPST
götlerinde	götNLOCPLPSS3P
sıyırmayacaklar mı?	sıyırmakVIND3PLFUTNEGINTR
model-view-presenterlerinden	model-view-presenterNABLPLPSS2S
çizmeciydim	çizmeciNLGSPEC11SSGPST
üzülürüz	üzülmekVIND1PLPRSPOSDECL
geciktirmiyorsunuz	geciktirmekVIND2PLPRSPROGNEGDECL
kategorilerini	kategoriNACCPLPSS3P
kapımızın	kapıNGENSGPSS1P
doğuyordu	doğmakVIND3SGPSTPROGPOSDECL
müsaadelerimi	müsaadeNACCPLPSS1S
kuvvetleri	kuvvetNNOMPLPSS3S
ayarlattırmazlar mı?	ayarlattırmakVIND3PLPRSNEGINTR
sonsuzluklarında	sonsuzlukNLOCPLPSS3S
işkenceciliklerin	işkencecilikNGENPL
omletinizde	omletNLOCSGPSS2P
sonuna	sonNDATSGPSS2S
sıralama algoritması	sıralama algoritmasıNNOMSG
votkalarmış	votkaNLGSPEC13PPLLGSPEC2
pişirmeyeceğiz	pişirmekVIND1PLFUTNEGDECL
kurutmuyordun	kurutmakVIND2SGPSTPROGNEGDECL
entomolojiden	entomolojiNABLSG
hedonizmlerinde	hedonizmNLOCPLPSS3S
doğuydum	doğuNLGSPEC11SSGPST
açlığa	açlıkNDATSG
parçalarını	parçaNACCPLPSS2S
yarışmamıza	yarışmaNDATSGPSS1P
almayız	almakVIND1PLPRSNEGDECL
karakolumuzda	karakolNLOCSGPSS1P
maçımın	maçNGENSGPSS1S
dinozorlarız	dinozorNLGSPEC11PPLPRS
embriyona	embriyoNDATSGPSS2S
viskiydiniz	viskiNLGSPEC12PSGPST
dişlerim	dişNNOMPLPSS1S
ön ekimize	ön ekNDATSGPSS1P
tangadan	tangaNABLSG
yardımları	yardımNNOMPLPSS3S
kımızlarının	kımızNGENPLPSS2S
striptizimiz	striptizNNOMSGPSS1P
ecelin	ecelNGENSG
acımadım	acımakVIND1SGPSTNEGDECL
satırtmaz mıyım?	sattırmakVIND1SGPRSNEGINTR
müzisyenimize	müzisyenNDATSGPSS1P
yüksüklerinizi	yüksükNACCPLPSS2P
canlandırtılır mıyız?	canlandırtılmakVIND1PLPRSPOSINTR
sandviçlerimden	sandviçNABLPLPSS1S
hastanelerim	hastaneNNOMPLPSS1S
öğrencilerden	öğrenciNABLPL
yapılmadılar	yapılmakVIND3PLPSTNEGDECL
evlenmedim mi?	evlenmekVIND1SGPSTNEGINTR
karınız	karıNNOMSGPSS2P
yapışmalarına	yapışmaNDATPLPSS3S
otostobumuzun	otostopNGENSGPSS1P
sezer misiniz?	sezmekVIND2PLPRSPOSINTR
ilköğretimimi	ilköğretimNACCSGPSS1S
sürünecek misin?	sürünmekVIND2SGFUTPOSINTR
sosisten	sosisNABLSG
dernekten	dernekNABLSG
barbar değilsiniz	barbarADJLGSPEC1PRS2PLNEGDECL
kaderimizi	kaderNACCSGPSS1P
pasif değil misiniz?	pasifADJLGSPEC1PRS2PLNEGINTR
gri kedilersin	gri kediNLGSPEC12SPLPRS
heteroseksüellerinde	heteroseksüelNLOCPLPSS3S
savaşçılarımızda	savaşçıNLOCPLPSS1P
malumatında	malumatNLOCSGPSS2S
sümürdüler mü?	sümürmekVIND3PLPSTPOSINTR
kuralında	kuralNLOCSGPSS3S
sürülüyoruz	sürülmekVIND1PLPRSPROGPOSDECL
ziyaretlerin	ziyaretNGENPL
imrenmezler	imrenmekVIND3PLPRSNEGDECL
akrebiz	akrepNLGSPEC11PSGPRS
dakikamızı	dakikaNACCSGPSS1P
yan cümlede	yan cümleNLOCSG
geçmiyor muydum?	geçmekVIND1SGPSTPROGNEGINTR
sakalınız	sakalNNOMSGPSS2P
boşanacak mısın?	boşanmakVIND2SGFUTPOSINTR
hırsızımıza	hırsızNDATSGPSS1P
verdirdiler mi?	verdirmekVIND3PLPSTPOSINTR
gözlemelerin	gözlemeNNOMPLPSS2S
haberleşmiyorsunuz	haberleşmekVIND2PLPRSPROGNEGDECL
gizemli değilmişsin	gizemliADJLGSPEC1LGSPEC22SGNEGDECL
heyecanlandırtmaz mı?	heyecanlandırtmakVIND3SGPRSNEGINTR
kuruşa	kuruşNDATSG
söz vermiyor muyuz?	söz vermekVIND1PLPRSPROGNEGINTR
öğütüyordum	öğütmekVIND1SGPSTPROGPOSDECL
yeniliyorlar mıydı?	yenilmekVIND3PLPSTPROGPOSINTR
duymamaları	duymamaNACCPL
hastalarımızın	hastaNGENPLPSS1P
telaffuzların	telaffuzNGENPL
artçı depremmişsin	artçı depremNLGSPEC12SSGLGSPEC2
hinterlantlarına	hinterlantNDATPLPSS2S
kumalarının	kumaNGENPLPSS3P
sağduyuya	sağduyuNDATSG
altını çizecek miyim?	altını çizmekVIND1SGFUTPOSINTR
tatbiklerimden	tatbikNABLPLPSS1S
vazolarının	vazoNGENPLPSS3S
bileşiğinize	bileşikNDATSGPSS2P
kaynaştırtmadınız mı?	kaynaştırtmakVIND2PLPSTNEGINTR
iftitahlarından	iftitahNABLPLPSS3P
ölçtürmeyecek mi?	ölçtürmekVIND3SGFUTNEGINTR
kirpilerimi	kirpiNACCPLPSS1S
alındırtıyorlardı	alındırtmakVIND3PLPSTPROGPOSDECL
neşene	neşeNDATSGPSS2S
yanardağlarımızın	yanardağNGENPLPSS1P
küme	kümeNNOMSG
acımayacaklar	acımakVIND3PLFUTNEGDECL
hülyaları	hülyaNNOMPLPSS3P
monoloğun	monologNNOMSGPSS2S
şakalar	şakaNNOMPL
içermiyorlar	içermekVIND3PLPRSPROGNEGDECL
kısalığımızda	kısalıkNLOCSGPSS1P
uzunluklarından	uzunlukNABLSGPSS3P
başkanlarını	başkanNACCPLPSS2S
ördeklerine	ördekNDATPLPSS3P
laçolarsınız	laçoNLGSPEC12PPLPRS
tiyatrolardınız	tiyatroNLGSPEC12PPLPST
kaltaklarınız	kaltakNNOMPLPSS2P
balıkçılarımızın	balıkçıNGENPLPSS1P
fırtınalarımızı	fırtınaNACCPLPSS1P
çıkarmadım	çıkarmakVIND1SGPSTNEGDECL
sinematografımıza	sinematografNDATSGPSS1P
simitleri	simitNNOMSGPSS3P
sürümler	sürümNNOMPL
sevişecekler mi?	sevişmekVIND3PLFUTPOSINTR
mantilerimin	mantiNGENPLPSS1S
uyardım mı?	uyarmakVIND1SGPSTPOSINTR
anahtarlıklarının	anahtarlıkNGENPLPSS2S
coşkulu değiller mi?	coşkuluADJLGSPEC1PRS3PLNEGINTR
asteroidimizde	asteroitNLOCSGPSS1P
müstahdemlerimden	müstahdemNABLPLPSS1S
Bengal kaplanlarının	Bengal kaplanıNGENPL
Belgratlıların	BelgratlıNGENPL
filozoflarına	filozofNDATPLPSS3S
geciktirmediler	geciktirmekVIND3PLPSTNEGDECL
tümcelerime	tümceNDATPLPSS1S
öldürtüldünüz mü?	öldürtülmekVIND2PLPSTPOSINTR
çarptı	çarpmakVIND3SGPSTPOSDECL
acıtmadılar	acıtmakVIND3PLPSTNEGDECL
paylaştırmalarımızı	paylaştırmaNACCPLPSS1P
tanışmadı	tanışmakVIND3SGPSTNEGDECL
etlerini	etNACCSGPSS3P
gruplarınıza	grupNDATPLPSS2P
devinimlerine	devinimNDATSGPSS3P
dövüşlerinde	dövüşNLOCPLPSS2S
deşmez misiniz?	deşmekVIND2PLPRSNEGINTR
dalmazsınız	dalmakVIND2PLPRSNEGDECL
delilerimden	deliNABLPLPSS1S
kaldıraçtı	kaldıraçNLGSPEC13SSGPST
hiperbollerinin	hiperbolNGENPLPSS3S
aşiretlerinden	aşiretNABLPLPSS3P
endoplazmik retikulumlarda	endoplazmik retikulumNLOCPL
öğretmendim	öğretmenNLGSPEC11SSGPST
tükenmez miyim?	tükenmekVIND1SGPRSNEGINTR
yüzeyler	yüzeyNNOMPL
sezmeyeceğiz	sezmekVIND1PLFUTNEGDECL
parçadan	parçaNABLSG
gelirine	gelirNDATSGPSS2S
mevkilerimde	mevkiNLOCPLPSS1S
kaynamadık	kaynamakVIND1PLPSTNEGDECL
çoklu kalıtımdan	çoklu kalıtımNABLSG
nohutları	nohutNNOMSGPSS3P
pornolarının	pornoNGENPLPSS3P
canlanılıyor muydunuz?	canlanılmakVIND2PLPSTPROGPOSINTR
altdillerinizde	altdilNLOCPLPSS2P
havralarıma	havraNDATPLPSS1S
deliklerde	delikNLOCPL
bineklerimde	binekNLOCPLPSS1S
kovuldun mu?	kovulmakVIND2SGPSTPOSINTR
içmedik	içmekVIND1PLPSTNEGDECL
dermiyor muydun?	dermekVIND2SGPSTPROGNEGINTR
yatakları	yatakNNOMPLPSS3P
baylarımızın	bayNGENPLPSS1P
mezuniyete	mezuniyetNDATSG
dolabınıza	dolapNDATSGPSS2P
smileyimin	smileyNGENSGPSS1S
olgunluklarınızdan	olgunlukNABLPLPSS2P
mananı	manaNACCSGPSS2S
şerbetçiliklerinizde	şerbetçilikNLOCPLPSS2P
kolajları	kolajNNOMPLPSS3S
babalılardır	babalıNLGSPEC13PPLPRS
müellifin	müellifNNOMSGPSS2S
enginarımızın	enginarNGENSGPSS1P
göçümüze	göçNDATSGPSS1P
altdilimize	altdilNDATSGPSS1P
kısrağında	kısrakNLOCSGPSS2S
saldıracaksınız	saldırmakVIND2PLFUTPOSDECL
kapı yapıyorsun	kapı yapmakVIND2SGPRSPROGPOSDECL
parlatmazlar mı?	parlatmakVIND3PLPRSNEGINTR
türüde	türüNLOCSG
paparazilerini	paparaziNACCPLPSS2S
geçmeyeceğiz	geçmekVIND1PLFUTNEGDECL
verinizde	veriNLOCSGPSS2P
ekseninde	eksenNLOCSGPSS3S
öğütücülerimden	öğütücüNABLPLPSS1S
Zagreplimde	ZagrepliNLOCSGPSS1S
sivilcemden	sivilceNABLSGPSS1S
paparazilersin	paparaziNLGSPEC12SPLPRS
örnekmişsiniz	örnekNLGSPEC12PSGLGSPEC2
çıkmaz sokaklarınız	çıkmaz sokakNNOMPLPSS2P
fokumuzda	fokNLOCSGPSS1P
azmadım mı?	azmakVIND1SGPSTNEGINTR
yangınlarının	yangınNGENSGPSS3P
tarihçilermişsin	tarihçiNLGSPEC12SPLLGSPEC2
bisküvilerinize	bisküviNDATPLPSS2P
deyimlerini	deyimNACCPLPSS3S
kısalıklardan	kısalıkNABLPL
kara tahtaların	kara tahtaNNOMPLPSS2S
baltalarımızın	baltaNGENPLPSS1P
kurbağada	kurbağaNLOCSG
analitik geometrisine	analitik geometriNDATSGPSS3S
kebaplar	kebapNNOMPL
amcalarmışsın	amcaNLGSPEC12SPLLGSPEC2
ülkelerimde	ülkeNLOCPLPSS1S
malamozlardınız	malamozNLGSPEC12PPLPST
bildirmedin	bildirmekVIND2SGPSTNEGDECL
makyaj yapmadınız mı?	makyaj yapmakVIND2PLPSTNEGINTR
<unk> ışınının	<unk> ışınıNGENSG
takmayacak mısın?	takmakVIND2SGFUTNEGINTR
tavernaların	tavernaNGENPL
meşalende	meşaleNLOCSGPSS2S
ayırmazsın	ayırmakVIND2SGPRSNEGDECL
yapraklarından	yaprakNABLSGPSS3P
sorumluluğunun	sorumlulukNGENSGPSS3S
yorumlarımızda	yorumNLOCPLPSS1P
dalgıcımdan	dalgıçNABLSGPSS1S
şeftalinizden	şeftaliNABLSGPSS2P
ortağımız	ortakNNOMSGPSS1P
sinir hücresinde	sinir hücresiNLOCSG
çeliklerinden	çelikNABLSGPSS3P
kızgın değil miymişiz?	kızgınADJLGSPEC1LGSPEC21PLNEGINTR
cızlamı çekmiyordunuz	cızlamı çekmekVIND2PLPSTPROGNEGDECL
türemiyor musunuz?	türemekVIND2PLPRSPROGNEGINTR
elmasının	elmasNGENSGPSS3S
kediciklermiş	kedicikNLGSPEC13PPLLGSPEC2
iftitahımın	iftitahNGENSGPSS1S
nöronda	nöronNLOCSG
şaşırtacak mıyız?	şaşırtmakVIND1PLFUTPOSINTR
gizlenmiyorum	gizlenmekVIND1SGPRSPROGNEGDECL
yapıyorlar mı?	yapmakVIND3PLPRSPROGPOSINTR
aşıyor muyum?	aşmakVIND1SGPRSPROGPOSINTR
korunmalarını	korunmaNACCPLPSS2S
hür yazılımın	hür yazılımNNOMSGPSS2S
listede	listeNLOCSG
